"","PARTY","educ","race","Voted_2020","gender","FT_DemParty","FT_RepParty","FT_Biden_pre","FT_Trump_pre","FT_Biden_post","FT_Trump_post","FT_Fauci","FT_fundamentalist","FT_Feminists","FT_Liberals","FT_laborUnions","FT_bigBusiness","FT_conservatives","FT_SCOTUS","FT_gaymen","FT_Congress","FT_Muslims","FT_Christians","FT_Jewish","FT_police","FT_Transpeople","FT_Scientist","FT_BLM","FT_journalists","FT_NATO","FT_UN","FT_NRA","FT_Socialist","FT_capitalist","FT_FBI","FT_ICE","FT_MeToo","FT_rural","FT_Parent","FT_WHO","FT_CDC"
"3729","Independent","High School","White",TRUE,"Male",60,40,60,15,70,30,100,40,60,60,70,60,40,70,60,60,50,70,50,85,50,85,60,50,60,60,50,40,60,70,40,NA,70,50,70,70
"3730","Democrat","Graduate Degree","White",TRUE,"Male",85,30,100,0,100,0,85,60,70,60,70,40,40,40,70,40,70,85,70,85,70,85,60,60,70,85,40,60,40,85,70,70,60,70,85,85
"3731","Republican","Graduate Degree","White",FALSE,"Female",45,70,55,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3732","Democrat","Some College","White",FALSE,"Male",60,30,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3733","Democrat","High School","White",FALSE,"Female",85,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3734","Republican","Bachelor's Degree","White",TRUE,"Male",50,60,40,0,40,0,85,0,40,30,30,15,40,70,100,15,100,60,100,100,60,85,15,60,70,60,15,30,40,70,70,60,85,50,40,85
"3735","Republican","Bachelor's Degree","White",TRUE,"Male",0,30,0,70,0,85,70,85,100,0,60,15,100,85,15,15,40,85,100,85,15,100,60,15,85,15,100,0,100,85,85,NA,100,0,40,100
"3736","Republican","Bachelor's Degree","White",FALSE,"Female",40,70,30,50,60,30,50,50,50,50,50,50,60,50,100,50,85,70,50,85,70,85,100,50,NA,NA,NA,NA,NA,60,NA,85,50,85,60,70
"3737","Democrat","Some College","White",TRUE,"Male",80,30,70,15,70,30,100,0,50,60,85,70,15,70,50,60,0,70,50,70,50,100,70,100,85,70,30,40,70,85,70,15,40,85,70,100
"3738","Democrat","High School","White",TRUE,"Female",85,30,100,30,100,0,100,60,100,85,40,30,40,30,100,20,60,60,100,50,70,70,100,40,60,40,70,40,40,70,0,100,60,100,60,100
